Weeks,DMFS
0,100
4.928257126,98.07589546
9.213698106,96.08561748
11.44824947,94.09576449
12.48899943,92.1061589
40.65046872,90.01146364
60.91448249,87.71946595
63.14903386,85.46436098
71.41381289,83.04222388
72.02601875,80.68798561
72.73005548,78.26741531
94.21848096,74.81468644
117.6659652,65.02866036
