Weeks,DMFS
0,100
11.44824947,99.13555229
11.93801416,97.34499987
12.64205089,96.31700252
22.77405778,95.35336442
26.23302085,94.42426566
35.2630572,93.36138643
53.13946815,92.29667397
153.8473312,75.06758166
